item;arquivo;arte_identificada;decisao;sku_candidato;produto_bling_candidato;preco_bling;estoque_bling;motivo
94;ChatGPT Image 3 de jul. de 2026, 08_19_06 (4).png;Caixa de som com microfones;SEGURO_APLICAR;3104000001380;CAIXA DE SOM + MICROFONE;48;;Nome e produto batem.
95;ChatGPT Image 3 de jul. de 2026, 08_19_06 (5).png;Perfume Lady Billion;SEGURO_APLICAR;3104000003767;PERFUME LADY BILLION;17;46;Nome e embalagem batem.
97;ChatGPT Image 3 de jul. de 2026, 08_20_26 (2).png;Porta-joias com visor;SEGURO_APLICAR;3104000000240;PORTA JOIA PREMIUM;27;258;Produto bate com porta-joias premium/visor.
105;ChatGPT Image 3 de jul. de 2026, 08_35_52 (1).png;Protetor de calcanhar adesivo;PROVAVEL_REVISAR;3104000001146;PROTETOR DE CALCANHAR C/2;12;11;Mesmo uso, mas arte especifica adesivo.
106;ChatGPT Image 3 de jul. de 2026, 08_35_52 (2).png;Protetor de silicone para planta do pe;SEGURO_APLICAR;3104000001148;PROTETOR DE SILICONE PLANTA DO PE;12;3;Nome e produto batem.
108;ChatGPT Image 3 de jul. de 2026, 08_36_43 (1).png;Mini karaoke portatil caixa com microfone;SEGURO_APLICAR;3104000001380;CAIXA DE SOM + MICROFONE;48;;Produto bate com caixa de som + microfone.
109;ChatGPT Image 3 de jul. de 2026, 08_36_43 (2).png;Microfone karaoke portatil;SEGURO_APLICAR;3104000000630;MICROFONE C/BLUETOOTH PRETO;36;15;"Produto principal existe; cores podem ficar como variacoes."
110;ChatGPT Image 3 de jul. de 2026, 08_36_43 (3).png;Organizador para sapatos;SEGURO_APLICAR;3104000001221;ORGANIZADOR DE SAPATO;7;-1;Nome e uso batem.
111;ChatGPT Image 3 de jul. de 2026, 08_36_44 (5).png;Perfume feminino 45ml sortido;MANTER_PENDENTE;;;;;"Arte mostra varias fragrancias; precisa escolher SKU/aroma correto."
112;ChatGPT Image 3 de jul. de 2026, 08_36_44 (4).png;Organizador multiuso para viagem;PROVAVEL_REVISAR;3104000000242;KIT C/6 BOLSA DE VIAGEM;48;100;Produto parece kit/bolsa de viagem, mas nao e exatamente o mesmo visual.
114;ChatGPT Image 3 de jul. de 2026, 13_01_37 (2).png;Kit organizador de mala;SEGURO_APLICAR;3104000000242;KIT C/6 BOLSA DE VIAGEM;48;100;Produto bate com kit organizador/bolsas de viagem.
115;ChatGPT Image 3 de jul. de 2026, 13_01_37 (3).png;Organizacao para sua viagem;SEGURO_APLICAR;3104000000242;KIT C/6 BOLSA DE VIAGEM;48;100;Produto bate como variacao/galeria do kit.
116;ChatGPT Image 3 de jul. de 2026, 13_01_38 (4).png;Organizador de mala estampado;SEGURO_APLICAR;3104000000242;KIT C/6 BOLSA DE VIAGEM;48;100;Produto bate como variacao/galeria do kit.
117;ChatGPT Image 3 de jul. de 2026, 13_01_38 (5).png;Organizador de mala;SEGURO_APLICAR;3104000000242;KIT C/6 BOLSA DE VIAGEM;48;100;Produto bate como variacao/galeria do kit.
128;ChatGPT Image 3 de jul. de 2026, 13_03_33 (1).png;Aero Glitter 3 em 1;SEGURO_APLICAR;3104000003115;SPRAY GLITTER;24;134;Produto bate com spray glitter.
129;ChatGPT Image 3 de jul. de 2026, 13_03_33 (2).png;Protetor de mamilo em silicone;SEGURO_APLICAR;3104000000064;TAPA MAMILO SILICONE;12;-1;Nome/produto batem.
131;ChatGPT Image 3 de jul. de 2026, 13_03_34 (4).png;Kit frascos de viagem;SEGURO_APLICAR;3104000004899;KIT FRASCO PARA VIAGEM;12;6;Nome/produto batem.
133;ChatGPT Image 3 de jul. de 2026, 13_03_49 (1).png;Base brilhante acessorio;MANTER_PENDENTE;;;;;"Nao ficou claro se e cosmestico, base de unha ou acessorio decorativo; nao associar."
137;ChatGPT Image 3 de jul. de 2026, 13_03_51 (5).png;Luminaria 3D coracao;SEGURO_APLICAR;3104000005817;LUMINARIA LED P/ESCREVER CORAÇÃO;24;72;Nome/modelo coracao batem.
139;ChatGPT Image 3 de jul. de 2026, 13_04_07 (2).png;Luminaria 3D LED;SEGURO_APLICAR;3104000001384;LUMINARIA LED P/ESCREVER;24;;"Produto principal bate; forma/modelo pode ser variacao."
140;ChatGPT Image 3 de jul. de 2026, 13_04_07 (3).png;Capa com alca para celular;MANTER_PENDENTE;;;;;"Bling nao tem SKU exato de capa com alca; varios modelos de capa podem confundir."
141;ChatGPT Image 3 de jul. de 2026, 13_04_08 (4).png;Capa com cordao brilhante;MANTER_PENDENTE;;;;;Bling nao tem SKU exato de capa com cordao brilhante.
143;ChatGPT Image 3 de jul. de 2026, 13_04_32 (1).png;Elasticos de cabelo;SEGURO_APLICAR;3104000000151;ELASTICO PRENDEDOR;12;9;Produto bate como elastico/prendedor.
153;ChatGPT Image 3 de jul. de 2026, 13_06_05 (2).png;Relogio digital retro prata;MANTER_PENDENTE;;;;;Bling tem relogio generico, mas nao achei SKU digital retro.
154;ChatGPT Image 3 de jul. de 2026, 13_06_06 (3).png;Relogio digital retro cores;MANTER_PENDENTE;;;;;"Arte tem variacoes de cor; precisa SKU/modelo correto."
155;ChatGPT Image 3 de jul. de 2026, 13_06_06 (4).png;Relogio digital retro;MANTER_PENDENTE;;;;;Nao achei SKU digital retro exato.
158;ChatGPT Image 3 de jul. de 2026, 13_06_28 (3).png;Relogio feminino analogico;MANTER_PENDENTE;;;;;"Bling tem relogio generico; modelo feminino nao identificado com seguranca."
159;ChatGPT Image 3 de jul. de 2026, 13_06_28 (4).png;Relogio feminino analogico;MANTER_PENDENTE;;;;;Modelo/variacao sem SKU seguro.
160;ChatGPT Image 3 de jul. de 2026, 13_06_29 (5).png;Relogio feminino analogico cores;MANTER_PENDENTE;;;;;"Arte tem opcoes de modelo; precisa SKU/variacao correta."
168;ChatGPT Image 3 de jul. de 2026, 13_07_53 (1).png;Regata modeladora com ziper;PROVAVEL_REVISAR;3104000004287;CINTA MODELADORA FITNESS;27;49;Mesmo tema modelador, mas cadastro nao fala regata.
172;ChatGPT Image 3 de jul. de 2026, 13_08_12 (1).png;Regata modeladora com ziper;PROVAVEL_REVISAR;3104000004287;CINTA MODELADORA FITNESS;27;49;Mesmo tema modelador, mas cadastro nao fala regata.
175;ChatGPT Image 3 de jul. de 2026, 13_08_13 (4).png;Pulseira dourada;MANTER_PENDENTE;;;;;"Bijuteria sem SKU exato; ha muitas pulseiras parecidas."
176;ChatGPT Image 3 de jul. de 2026, 13_08_13 (5).png;Pulseira dourada;MANTER_PENDENTE;;;;;"Bijuteria sem SKU exato; ha muitas pulseiras parecidas."
178;ChatGPT Image 3 de jul. de 2026, 13_08_28 (2).png;Pulseira dourada com detalhes;MANTER_PENDENTE;;;;;"Bijuteria sem SKU exato; nao associar por semelhanca."
180;ChatGPT Image 3 de jul. de 2026, 13_08_28 (4).png;Pulseira com cabo metalico;MANTER_PENDENTE;;;;;Nao achei SKU com cabo metalico.
182;ChatGPT Image 3 de jul. de 2026, 13_08_42 (1).png;Colar prateado com pingente;MANTER_PENDENTE;;;;;"Colar generico demais; precisa SKU exato."
183;ChatGPT Image 3 de jul. de 2026, 13_08_42 (2).png;Colar coracao vazado;MANTER_PENDENTE;;;;;Nao achei SKU exato coracao vazado.
184;ChatGPT Image 3 de jul. de 2026, 13_08_42 (3).png;Colar coracao geometrico dourado;MANTER_PENDENTE;;;;;"Nao achei SKU exato; pode confundir com relicario/coracao."
185;ChatGPT Image 3 de jul. de 2026, 13_08_43 (4).png;Colar coracao dourado;MANTER_PENDENTE;;;;;"Bijuteria parecida com varios modelos; precisa SKU."
186;ChatGPT Image 3 de jul. de 2026, 13_08_43 (5).png;Pulseira dourada delicada;MANTER_PENDENTE;;;;;Bijuteria sem SKU exato.
189;ChatGPT Image 3 de jul. de 2026, 13_09_04 (3).png;Colar coracao geometrico prata;MANTER_PENDENTE;;;;;Nao achei SKU exato.
190;ChatGPT Image 3 de jul. de 2026, 13_09_05 (4).png;Colar pingente redondo dourado;MANTER_PENDENTE;;;;;Nao achei SKU exato.
191;ChatGPT Image 3 de jul. de 2026, 13_09_05 (5).png;Colar coracao delicado prata;MANTER_PENDENTE;;;;;Nao achei SKU exato.
194;ChatGPT Image 3 de jul. de 2026, 13_09_22 (3).png;Choker com brilho delicado;PROVAVEL_REVISAR;3104000000751;CHOKER;12;1313;Existe choker generico, mas modelo/strass precisa confirmacao.
195;ChatGPT Image 3 de jul. de 2026, 13_09_23 (4).png;Mix de colares dourado;SEGURO_APLICAR;3104000005354;MIX COLAR GROSSO DOURADO;12;2;Nome e cor batem como mix de colares dourado.
196;ChatGPT Image 3 de jul. de 2026, 13_09_23 (5).png;Colar prateado moderno;MANTER_PENDENTE;;;;;Nao achei SKU exato para esse modelo.
197;ChatGPT Image 3 de jul. de 2026, 13_09_49 (1).png;Colar ou choker com brilho;PROVAVEL_REVISAR;3104000000517;CHOKER PREMIUM;24;-83;Pode ser choker/colar, mas precisa confirmar modelo.
198;ChatGPT Image 3 de jul. de 2026, 13_09_49 (2).png;Colar delicado moderno;MANTER_PENDENTE;;;;;Nao achei SKU exato.
199;ChatGPT Image 3 de jul. de 2026, 13_09_50 (4).png;Pulseira pedra turquesa dourada oval;SEGURO_APLICAR;3104000005384;PULSEIRA PEDRA TURQUESA DOURADA OVAL;12;2;Nome/cor/formato batem.
200;ChatGPT Image 3 de jul. de 2026, 13_09_50 (3).png;Pulseira pedra turquesa prata oval;SEGURO_APLICAR;3104000005383;PULSEIRA PEDRA TURQUESA PRATA OVAL;12;6;Nome/cor/formato batem.
201;ChatGPT Image 3 de jul. de 2026, 13_09_52 (5).png;Pulseira pedra turquesa;PROVAVEL_REVISAR;;PULSEIRA PEDRA TURQUESA;;;Imagem nao deixa claro se e oval/redonda e dourada/prata.
202;ChatGPT Image 3 de jul. de 2026, 13_10_08 (1).png;Relicario coracao prata;PROVAVEL_REVISAR;;RELICARIO CORAÇÃO;;;"Ha varios relicarios coracao; precisa subtipo correto."
203;ChatGPT Image 3 de jul. de 2026, 13_10_08 (2).png;Relicario redondo dourado;PROVAVEL_REVISAR;3104000005052;RELICARIO REDONDO FLOR DOURADO;12;8;Candidato bom, mas precisa confirmar se e flor.
204;ChatGPT Image 3 de jul. de 2026, 13_10_08 (3).png;Pingente redondo dourado;MANTER_PENDENTE;;;;;"Nao achei SKU de pingente redondo simples; pode nao ser relicario."
205;ChatGPT Image 3 de jul. de 2026, 13_10_09 (4).png;Relicario coracao prata;PROVAVEL_REVISAR;;RELICARIO CORAÇÃO;;;"Ha varios relicarios coracao; precisa subtipo correto."
206;ChatGPT Image 3 de jul. de 2026, 13_10_09 (5).png;Coracao geometrico prata;PROVAVEL_REVISAR;3104000005232;RELICARIO CORAÇÃO TRIANGULO PRATA;12;8;Pode bater, mas precisa confirmar se e relicario ou apenas colar.
207;ChatGPT Image 3 de jul. de 2026, 13_10_26 (1).png;Aneis para cabelo dourado;SEGURO_APLICAR;3104000001048;ANEL DE CABELO P DOURADO;12;17;Nome/cor batem.
213;ChatGPT Image 3 de jul. de 2026, 13_10_44 (2).png;Pulseira shine aco inoxidavel;MANTER_PENDENTE;;;;;Nao achei SKU Pulseira Shine/Aco Inoxidavel.
215;ChatGPT Image 3 de jul. de 2026, 13_10_44 (3).png;Pulseira pedra turquesa;PROVAVEL_REVISAR;;PULSEIRA PEDRA TURQUESA;;;Precisa identificar formato/cor antes de associar.
217;ChatGPT Image 3 de jul. de 2026, 13_11_50 (1).png;Aspirador portatil sem fio;SEGURO_APLICAR;3104000000021;ASPIRADOR E SOPRADOR DE AR;36;87;Produto bate com aspirador/soprador portatil.
219;ChatGPT Image 3 de jul. de 2026, 13_11_52 (4).png;Luminaria 3D criativa;SEGURO_APLICAR;3104000001384;LUMINARIA LED P/ESCREVER;24;;"Produto principal bate; modelo pode ir como galeria/variacao."
225;ChatGPT Image 3 de jul. de 2026, 13_12_31 (2).png;Lampada LED com alto-falante;SEGURO_APLICAR;3104000001749;LAMPADA LED COM CONTROLE;48;17;Usuario confirmou que e a mesma logica/produto de lampada.
230;ChatGPT Image 3 de jul. de 2026, 13_12_48 (2).png;Sunset Lamp LED;MANTER_PENDENTE;;;;;Nao achei SKU Sunset Lamp no Bling local.
240;ChatGPT Image 3 de jul. de 2026, 13_37_53 (1).png;Calcinha fio renda frase Bandida;SEGURO_APLICAR;3104000004575;CALCINHA FIO RENDA FRASE;24;48;"Produto principal bate; frase vira variacao na plataforma."
241;ChatGPT Image 3 de jul. de 2026, 13_37_56 (2).png;Calcinha fio renda frase Cachorra;SEGURO_APLICAR;3104000004575;CALCINHA FIO RENDA FRASE;24;48;"Produto principal bate; frase vira variacao na plataforma."
242;ChatGPT Image 3 de jul. de 2026, 13_37_56 (3).png;Calcinha fio renda frase Vadia;SEGURO_APLICAR;3104000004575;CALCINHA FIO RENDA FRASE;24;48;"Produto principal bate; frase vira variacao na plataforma."
243;ChatGPT Image 3 de jul. de 2026, 13_37_56 (4).png;Calcinha fio renda frase Princesa;SEGURO_APLICAR;3104000004575;CALCINHA FIO RENDA FRASE;24;48;"Produto principal bate; frase vira variacao na plataforma."
244;ChatGPT Image 3 de jul. de 2026, 13_39_46.png;Calcinha fio renda frase varias cores;SEGURO_APLICAR;3104000004575;CALCINHA FIO RENDA FRASE;24;48;Imagem principal/galeria do produto principal.
